LINK,ANNO,AMBIENTE (BLOG/NEWS/SITI DI PRIVATI/ENTI PUBBLICI/ACADEMIC/SOCIAL/WIKI)
http://tychy.wordpress.com/tag/mario-costeja-gonzalez/,2014,BLOG
http://www.2civility.org/do-lawyers-have-a-right-to-be-forgotten/,2014,NEWS
http://societadigitale.tumblr.com/post/85668665455/mario-vs-google-chi-lha-detto-che-golia-vince,2014,BLOG INTERNET
http://www.5rb.com/case/google-spain-sl-v-agencia-espanola-de-proteccion-de-datos/,2014,BLOG LAWYER
http://ukhumanrightsblog.com/2013/07/01/there-is-no-right-to-be-forgotten-by-internet-search-engines/,2013,BLOG LAWYER
http://www.skadden.com/newsletters/Privacy_Cybersecurity_Update_May_2014.pdf,2014,BLOG LAWYER
http://www.tomshw.it/cont/news/scurdammoce-o-passato-google-dovra-cancellare-i-dati/56041/1.html,2014,NEWS
http://www.medialaws.eu/court-of-justice-of-the-european-union-judgment-in-case-c-13112-google-spain-sl-google-inc-v-agencia-espanola-de-proteccion-de-datos-mario-costeja-gonzalez/,2014,BLOG INTERNET
http://www.silha.umn.edu/news/Summer%202014/SILHACENTEREuropeanHighCourtRulesUniversityofMinnesota.html,2014,ACADEMIC
http://blog.justcite.com/the-right-to-be-forgotten-unless-youre-worth-remembering,2014,BLOG LAWYER
http://articles.chicagotribune.com/2014-05-21/opinion/ct-google-forgotten-right-europe-clarence-page-ope-20140521_1_search-results-search-engine-google,2014,NEWS
http://www.thenational.ae/thenationalconversation/comment/if-google-is-forced-to-forget-the-internet-will-remember,2014,NEWS
http://www.lexology.com/library/detail.aspx?g=3f9ddd42-5414-41ec-b719-235ab7b16fa1,2014,BLOG LAWYER
http://uk.practicallaw.com/3-568-1987,2014,BLOG LAWYER
https://www.kingsleynapley.co.uk/news-and-events/blogs/dispute-resolution-law-blog/european-court-of-justice-upholds-right-to-be-forgotten-in-google-challenge,2014,BLOG LAWYER
http://www.scl.org/site.aspx?i=ne37139,2014,BLOG INTERNET
http://www.openmediacoalition.it/documenti/ecj-google-spain-sl-google-inc-v-agencia-espanola-de-proteccion-de-datos-aepd-case-c%E2%80%9113112/,2013,BLOG INTERNET
http://tn.com.ar/personajes/mario-costeja-gonzalez,2014,NEWS
http://www.washingtonexaminer.com/should-you-be-allowed-to-erase-yourself-from-google/article/2556972,2014,NEWS
http://www.theblaze.com/stories/2014/05/14/wikipedia-founder-slams-shocking-eu-court-ruling-on-internet-censorship/,2014,NEWS
http://www.pianetacellulare.it/post/Google/32491_Ue-conferma-diritto-Oblio-Google-deve-eliminare-i-risultati.php,2014,NEWS
http://www.2civility.org/do-lawyers-have-a-right-to-be-forgotten/,2014,BLOG LAWYER
http://www.privacy-europe.com/blog/why-google-v-aepd-is-a-highly-relevant-privacy-case-to-be-followed/,2013,BLOG LAWYER
http://bigjump.cemitds.it/il-diritto-alloblio-e-i-motori-di-ricerca-la-sentenza-della-corte-di-giustizia-europea/,2014,BLOG INTERNET
http://www.eindhovennews.nl/opinion/24073-the-right-to-be-forgotten.html,2014,NEWS
"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=141&ved=0CBwQFjAAOIwB&url=http%3A%2F%2Fwww.theworldlawgroup.com%2FDocument.asp%3FMODE%3DDOWNLOAD%26DocID%3D1850&ei=czKsVPv0O8yzaYDygTA&usg=AFQjCNFIUd6mwoJ0HtA9eAzIvsameRB3cg&sig2=7lobwif0Gs2SvTVIRFe60Q&bvm=bv.82001339,bs.1,d.d24&cad=rja",2014,BLOG LAWYER
http://www.businessweek.com/articles/2014-05-22/google-can-coexist-with-the-right-to-be-forgotten,2014,NEWS
http://www.rjrnewsonline.com/opinion/the-right-to-be-forgotten-internet-regulation-and-freedom-of-information,2014,NEWS
http://www.mckinty-wright.co.uk/google-right-forgotten/,2014,BLOG LAWYER
http://www.business-standard.com/article/opinion/the-right-to-be-forgotten-114061400928_1.html,2014,NEWS
http://mlonml.com/tag/mario-costeja-conzalez/,2014,NEWS
